"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage","file_name"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.964336010578528,"INHS_FISH_41709"
1,1,0,0,2,0.999124828091232,1,1,2,0.897654155495979,1,1,1,1,1,1,0,0,0,0,2,0.969457136910131,"INHS_FISH_4171"
1,1,1,1,2,0.999830501292428,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_41757"
1,1,2,0.994624222620428,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_41797"
1,1,0,0,1,1,1,1,1,1,3,0.89862398202752,1,1,1,1,0,0,0,0,2,0.999356127651005,"INHS_FISH_41816"
1,1,0,0,1,1,2,0.986679352997146,2,0.880475504322767,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_4197"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.990033911186086,"INHS_FISH_42535"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_42877"
1,1,1,1,1,1,1,1,1,1,2,0.702376125212878,1,1,1,1,0,0,0,0,2,0.978495721528233,"INHS_FISH_42931"
1,1,1,1,2,0.999960852629725,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_42960"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_42961"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_42999"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_43025"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_43026"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0.992672250874819,"INHS_FISH_44640"
1,1,1,1,1,1,1,1,1,1,3,0.93621867881549,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_4498"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.980319401625355,"INHS_FISH_45001"
1,1,0,0,1,1,1,1,1,1,2,0.89424675756568,1,1,1,1,0,0,0,0,2,0.97350054525627,"INHS_FISH_45251"
1,1,1,1,1,1,1,1,2,0.558818666867062,1,1,1,1,1,1,0,0,0,0,2,0.987350802628044,"INHS_FISH_45480"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_45484"
1,1,0,0,1,1,1,1,1,1,2,0.974514285714286,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_45487"
2,0.999634442799437,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_45623"
1,1,1,1,1,1,2,0.99976123204266,2,0.842195052601649,1,1,1,1,1,1,0,0,0,0,2,0.988380166886042,"INHS_FISH_45637"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_45640"
