"X","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","SL_bbox.diff","SL_lm.diff","HL_bbox.diff","HL_lm.diff","pOD_bbox.diff","pOD_lm.diff","ED_bbox.diff","ED_lm.diff","HH_lm.diff","EA_m.diff","HA_m.diff"
"INHS_FISH_5716",5.01,5.07,1.19,1.18,0.26,0.27,0.35,0.35,267,0.09,0.69,50.09,50.72,11.85,11.85,2.57,2.67,3.51,3.49,6.79,3440.36,27283.73,0.000999999999999446,-0.00199999999999978,0.00499999999999989,-0.00500000000000012,0.003,0.003,-0.001,0.000999999999999945,266.321,-343.946,-2727.683
"INHS_FISH_57605",5.17,5.17,1.02,1.01,0.23,0.26,0.31,0.3,230,0.07,0.55,51.73,51.71,10.16,10.13,2.33,2.64,3.07,3.05,5.83,2584.45,21774.76,-0.00300000000000011,-0.00100000000000033,0.004,-0.00300000000000011,-0.003,-0.004,0.003,-0.005,229.417,-258.375,-2176.926
"INHS_FISH_57626",4.61,4.61,1.06,1.06,0.26,0.27,0.33,0.33,236,0.08,0.59,46.11,46.09,10.58,10.56,2.56,2.7,3.32,3.3,5.99,3009.67,23175.57,-0.000999999999999446,0.00100000000000033,0.002,0.004,0.004,0,-0.00199999999999995,5.55111512312578e-17,235.401,-300.887,-2316.967
"INHS_FISH_57656",4.44,4.44,1.13,1.13,0.32,0.33,0.35,0.34,237,0.08,0.59,44.4,44.38,11.28,11.25,3.16,3.27,3.46,3.44,6.03,3301.06,23200.59,8.88178419700125e-16,0.00199999999999978,0.002,0.00499999999999989,0.004,0.003,0.004,-0.00399999999999995,236.397,-330.026,-2319.469
"INHS_FISH_57676",4.29,4.34,1.06,1.07,0.32,0.32,0.33,0.33,238,0.08,0.53,42.93,43.38,10.56,10.71,3.24,3.25,3.32,3.3,6.03,3145.78,20825.11,-0.00300000000000011,0.00199999999999978,0.004,-0.00100000000000011,-0.004,-0.005,-0.00199999999999995,5.55111512312578e-17,237.397,-314.498,-2081.981
"INHS_FISH_57695",5.73,5.73,1.27,1.28,0.33,0.33,0.42,0.41,274,0.12,0.78,57.3,57.29,12.75,12.8,3.26,3.3,4.16,4.14,6.92,4590.04,30706.38,8.88178419700125e-16,0.00100000000000033,-0.00499999999999989,0,0.00400000000000006,5.55111512312578e-17,0.00399999999999995,-0.004,273.308,-458.884,-3069.858
"INHS_FISH_57772",4.23,4.23,0.94,0.94,0.22,0.23,0.31,0.31,199,0.07,0.41,42.27,42.27,9.43,9.4,2.24,2.33,3.08,3.05,5.06,2797.5,16168.39,0.00300000000000011,0.00300000000000011,-0.003,-1.11022302462516e-16,-0.00400000000000003,-0.003,0.002,0.005,198.494,-279.68,-1616.429
"INHS_FISH_57777",2.62,2.66,0.64,0.64,0.15,0.15,0.19,0.19,131,0.03,0.19,26.19,26.62,6.37,6.39,1.48,1.49,1.91,1.89,3.34,1154.65,7483.82,0.00099999999999989,-0.00199999999999978,0.003,0.001,0.002,0.001,-0.001,0.001,130.666,-115.435,-748.192
"INHS_FISH_57784",4.67,4.67,1.19,1.19,0.3,0.3,0.37,0.37,226,0.1,0.53,46.66,46.73,11.88,11.87,3.01,3.04,3.7,3.67,5.76,3962.32,20978.46,0.00400000000000045,-0.00300000000000011,0.00199999999999978,0.00300000000000011,-0.001,-0.004,0,0.003,225.424,-396.132,-2097.316
"INHS_FISH_57788",4.71,4.71,1.21,1.21,0.33,0.35,0.36,0.35,249,0.09,0.61,47.1,47.08,12.09,12.07,3.33,3.46,3.56,3.54,6.33,3552.88,24158.39,0,0.00199999999999978,0.00099999999999989,0.00299999999999989,-0.003,0.004,0.004,-0.004,248.367,-355.198,-2415.229
"INHS_FISH_57790",5.04,5.04,1.12,1.14,0.27,0.35,0.31,0.31,150,0.07,0.57,50.36,50.36,11.19,11.39,2.7,3.51,3.11,3.09,3.82,2591.39,22549.69,0.00400000000000045,0.00400000000000045,0.00100000000000011,0.00099999999999989,0,-0.001,-0.001,0.001,149.618,-259.069,-2254.399
"INHS_FISH_57800",5.58,5.58,1.3,1.3,0.31,0.35,0.37,0.37,277,0.1,0.85,55.8,55.82,13,12.97,3.07,3.48,3.68,3.69,7.09,3882.92,33065.96,0,-0.00199999999999978,0,0.00299999999999989,0.003,0.002,0.002,0.001,276.291,-388.192,-3305.746
"INHS_FISH_57828",4.62,4.62,1.06,1.07,0.24,0.3,0.32,0.32,130,0.08,0.53,46.21,46.2,10.61,10.66,2.4,2.97,3.21,3.2,3.32,3204.67,20895.28,-0.00100000000000033,0,-0.00099999999999989,0.004,0,0.00299999999999995,-0.001,0,129.668,-320.387,-2088.998
"INHS_FISH_57837",4.72,4.72,1.16,1.16,0.31,0.32,0.33,0.33,240,0.07,0.6,47.18,47.17,11.64,11.63,3.1,3.18,3.33,3.31,6.1,2804.61,23516.36,0.00199999999999978,0.00299999999999923,-0.00400000000000023,-0.00300000000000011,0,0.002,-0.003,-0.001,239.39,-280.391,-2351.036
"INHS_FISH_57867",6.16,6.21,1.42,1.44,0.39,0.39,0.46,0.46,306,0.15,0.94,61.57,62.12,14.24,14.39,3.9,3.94,4.64,4.62,7.75,5872.63,37182.12,0.00300000000000011,-0.00199999999999978,-0.004,0.00099999999999989,0,-0.004,-0.00399999999999995,-0.002,305.225,-587.113,-3717.272
"INHS_FISH_57888",5.74,5.74,1.15,1.15,0.33,0.35,0.28,0.28,240,0.06,0.6,57.37,57.38,11.5,11.5,3.32,3.54,2.83,2.81,6.12,2309.06,23382.42,0.00300000000000011,0.00199999999999978,0,0,-0.00199999999999995,-0.004,-0.003,-0.001,239.388,-230.846,-2337.642
"INHS_FISH_57898",5.26,5.26,1.18,1.18,0.33,0.34,0.3,0.29,231,0.07,0.62,52.61,52.59,11.84,11.82,3.3,3.38,2.97,2.94,5.86,2688.04,24274.49,-0.00100000000000033,0.000999999999999446,-0.004,-0.002,5.55111512312578e-17,0.00200000000000006,0.00299999999999995,-0.004,230.414,-268.734,-2426.829
"INHS_FISH_57905",5.24,5.27,1.24,1.24,0.38,0.38,0.31,0.31,243,0.07,0.64,52.45,52.71,12.35,12.38,3.83,3.83,3.09,3.07,6.16,2595.08,25269.35,-0.00499999999999989,-0.00100000000000033,0.00500000000000012,0.002,-0.003,-0.003,0.001,0.003,242.384,-259.438,-2526.295
"INHS_FISH_57916",3.84,3.84,0.84,0.84,0.21,0.22,0.24,0.23,181,0.04,0.33,38.4,38.4,8.44,8.41,2.11,2.16,2.36,2.34,4.6,1698.01,13161.44,0,0,-0.004,-0.001,-0.001,0.00399999999999998,0.004,-0.00399999999999998,180.54,-169.761,-1315.814
"INHS_FISH_57928",4.58,4.59,0.99,1,0.26,0.26,0.27,0.27,189,0.06,0.41,45.75,45.89,9.89,9.99,2.61,2.62,2.69,2.67,4.79,2240.49,16245.7,0.00499999999999989,0.000999999999999446,0.00099999999999989,0.001,-0.001,-0.002,0.001,0.003,188.521,-223.989,-1624.16
"INHS_FISH_57950",4.55,4.55,1.09,1.08,0.27,0.29,0.32,0.32,227,0.07,0.53,45.52,45.55,10.85,10.83,2.71,2.86,3.24,3.21,5.74,2660.59,20821.96,-0.00200000000000067,-0.00499999999999989,0.00500000000000012,-0.00299999999999989,-0.001,0.004,-0.004,-0.001,226.426,-265.989,-2081.666
"INHS_FISH_57998",4.97,5.05,1.26,1.26,0.36,0.36,0.36,0.36,264,0.09,0.69,49.74,50.52,12.59,12.63,3.61,3.65,3.61,3.58,6.66,3624.16,27485.76,-0.00400000000000045,-0.00200000000000067,0.00100000000000011,-0.00300000000000011,-0.001,-0.005,-0.001,0.002,263.334,-362.326,-2747.886
"INHS_FISH_58003",4.62,4.62,1.13,1.14,0.32,0.32,0.34,0.33,245,0.08,0.6,46.22,46.2,11.34,11.36,3.17,3.19,3.35,3.33,6.22,3181.02,23485.06,-0.00199999999999978,0,-0.004,0.004,0.003,0.001,0.005,-0.003,244.378,-318.022,-2347.906
"INHS_FISH_58070",4.87,4.87,0.97,0.97,0.24,0.26,0.32,0.32,206,0.07,0.44,48.74,48.73,9.72,9.71,2.41,2.56,3.24,3.22,5.22,2770.98,17264.72,-0.00400000000000045,-0.00299999999999923,-0.00200000000000011,-0.00100000000000011,-0.00100000000000003,0.004,-0.004,-0.002,205.478,-277.028,-1726.032
"INHS_FISH_58076",4.19,4.19,0.97,0.97,0.24,0.26,0.3,0.3,194,0.06,0.42,41.94,41.91,9.71,9.69,2.44,2.59,2.98,2.96,4.93,2411.94,16603.3,-0.00399999999999956,-0.000999999999999446,-0.00100000000000011,0.001,-0.004,0.001,0.002,0.004,193.507,-241.134,-1659.91
"INHS_FISH_58116",4.63,4.67,1.06,1.07,0.28,0.29,0.33,0.33,229,0.08,0.52,46.29,46.67,10.55,10.68,2.83,2.94,3.32,3.29,5.8,3041.18,20500.62,0.00100000000000033,0.00300000000000011,0.00499999999999989,0.002,-0.003,-0.004,-0.00199999999999995,0.001,228.42,-304.038,-2049.542
