"dorsal_fin.number","dorsal_fin.percentage","adipos_fin.number","adipos_fin.percentage","caudal_fin.number","caudal_fin.percentage","anal_fin.number","anal_fin.percentage","pelvic_fin.number","pelvic_fin.percentage","pectoral_fin.number","pectoral_fin.percentage","head.number","head.percentage","eye.number","eye.percentage","caudal_fin_ray.number","caudal_fin_ray.percentage","alt_fin_ray.number","alt_fin_ray.percentage","trunk.number","trunk.percentage","file.name"
1,1,0,0,2,0.999758590166573,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999098483813687,"INHS_FISH_101549"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101550"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999981629803806,"INHS_FISH_101551"
1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101560"
1,1,0,0,1,1,1,1,2,0.995633187772926,2,0.991704374057315,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101576"
1,1,0,0,1,1,2,0.978260869565217,2,0.552897278314311,1,1,1,1,1,1,0,0,0,0,2,0.988728708507415,"INHS_FISH_101577"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101590"
1,1,0,0,2,0.999587118084228,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101599"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101612"
1,1,0,0,1,1,2,0.998276604911676,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101613"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.991410009624639,"INHS_FISH_101646"
1,1,2,0.6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10165"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101654"
1,1,0,0,2,0.999578130273372,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10168"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10169"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101691"
1,1,1,1,1,1,1,1,2,0.830917874396135,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101699"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101700"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101714"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101715"
1,1,0,0,1,1,5,0.990808823529412,2,0.762829403606103,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101719"
1,1,1,1,1,1,0,0,2,0.735294117647059,1,1,1,1,1,1,0,0,0,0,2,0.986786710626427,"INHS_FISH_101734"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101741"
1,1,3,0.911764705882353,1,1,0,0,2,0.599790648988137,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101748"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101765"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101766"
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,2,0.997649000825351,"INHS_FISH_101767"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101777"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101778"
1,1,0,0,1,1,9,0.899053627760252,2,0.526912181303116,1,1,1,1,1,1,0,0,0,0,3,0.990779259767552,"INHS_FISH_101784"
1,1,0,0,1,1,2,0.72,2,0.644313967861557,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101810"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.994704073987961,"INHS_FISH_101816"
1,1,1,1,1,1,1,1,2,0.508226691042048,2,0.995253164556962,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101817"
1,1,3,0.971774193548387,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.993328677054984,"INHS_FISH_101820"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.973690453084902,"INHS_FISH_101822"
1,1,0,0,1,1,0,0,2,0.623181677499226,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101823"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_10183"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101845"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101853"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101858"
1,1,0,0,1,1,3,0.996209249431387,3,0.491822429906542,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101872"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.994101258108049,"INHS_FISH_101873"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_101875"
