"original_file_name","id","file_name","catalog_id","dataset","path","scientific_name","genus","family","institution","width","height","size","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta","file.name","X.none.","X.none..1","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","unit.conv"
"INHS_FISH_33382",129091,"INHS_129091.JPG","33382","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33382.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,11020914,2445,2447.78,619,622.18,179,179.01,183,182.27,298,25517,148082,2.84,3.19,360.569,"cm",2.66,"INHS_FISH_33382",NA,NA,67.81,67.89,17.17,17.26,4.96,4.96,5.08,5.06,8.26,1.96,11.39,"mm"
"INHS_FISH_33608",129150,"INHS_129150.JPG","33608","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33608.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10859199,730,759.48,275,274.31,44,44.72,71,70.18,109,3531,22216,17.79,16.29,392.858,"cm",17.75,"INHS_FISH_33608",NA,NA,18.58,19.33,7,6.98,1.12,1.14,1.81,1.79,2.77,0.23,1.44,"mm"
"INHS_FISH_33711",129163,"INHS_129163.JPG","33711","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_33711.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11044286,1316,1316.15,267,266.09,53,59.48,97,96.05,162,6679,38948,3.4,2.4,397.545,"cm",3.04,"INHS_FISH_33711",NA,NA,33.1,33.11,6.72,6.69,1.33,1.5,2.44,2.42,4.08,0.42,2.46,"mm"
"INHS_FISH_35010",129218,"INHS_129218.JPG","35010","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_35010.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11040567,2235,2243.66,504,503.1,154,161.91,129,128.14,269,12017,113837,6.77,5.32,391.462,"cm",5.62,"INHS_FISH_35010",NA,NA,57.09,57.31,12.87,12.85,3.93,4.14,3.3,3.27,6.87,0.78,7.43,"mm"
"INHS_FISH_35020",129219,"INHS_129219.JPG","35020","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_35020.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10735000,1908,1907.21,421,420.02,125,125.78,129,128.1,222,11454,78206,0.09,-0.84,394.45,"cm",-0.71,"INHS_FISH_35020",NA,NA,48.37,48.35,10.67,10.65,3.17,3.19,3.27,3.25,5.63,0.74,5.03,"mm"
"INHS_FISH_3504",122434,"INHS_122434.JPG","3504","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_3504.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11595428,1667,1673.29,372,381.76,93,93.05,118,117.11,211,10245,71508,5.24,5.35,395.626,"cm",5.7,"INHS_FISH_3504",NA,NA,42.14,42.29,9.4,9.65,2.35,2.35,2.98,2.96,5.33,0.65,4.57,"mm"
"INHS_FISH_36043",129249,"INHS_129249.JPG","36043","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_36043.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11310696,2515,2517.57,595,594.48,177,189.61,157,157.04,310,18427,161092,177.46,-3.05,392.198,"cm",-2.28,"INHS_FISH_36043",NA,NA,64.13,64.19,15.17,15.16,4.51,4.83,4,4,7.9,1.2,10.47,"mm"
"INHS_FISH_36527",129323,"INHS_129323.JPG","36527","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_36527.jpg","Notropis baileyi","Notropis ","Cyprinidae","INHS",6016,4016,9358421,1878,1877.81,483,482.5,125,135.77,140,139.13,263,13180,108786,2.61,1.68,391.361,"cm",1.87,"INHS_FISH_36527",NA,NA,47.99,47.98,12.34,12.33,3.19,3.47,3.58,3.56,6.72,0.86,7.1,"mm"
"INHS_FISH_36532",129324,"INHS_129324.JPG","36532","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_36532.jpg","Notropis ammophilus","Notropis ","Cyprinidae","INHS",6016,4016,9643943,1472,1475.26,355,355.93,86,110.26,95,95.19,198,6232,62487,178.16,-4.35,393.367,"cm",-2.82,"INHS_FISH_36532",NA,NA,37.42,37.5,9.02,9.05,2.19,2.8,2.42,2.42,5.03,0.4,4.04,"mm"
"INHS_FISH_37891",129461,"INHS_129461.JPG","37891","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_37891.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11392123,2347,2383.12,520,525.91,159,159.15,148,147,287,14905,126539,10.78,10.13,392.024,"cm",10.62,"INHS_FISH_37891",NA,NA,59.87,60.79,13.26,13.42,4.06,4.06,3.78,3.75,7.32,0.97,8.23,"mm"
"INHS_FISH_38217",129533,"INHS_129533.JPG","38217","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38217.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10719657,3287,3288.61,792,792.46,273,273.09,220,220.66,414,33346,263348,2.17,2.28,334.936,"cm",1.76,"INHS_FISH_38217",NA,NA,98.14,98.19,23.65,23.66,8.15,8.15,6.57,6.59,12.36,2.97,23.48,"mm"
"INHS_FISH_38220",129535,"INHS_129535.JPG","38220","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38220.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11054145,2337,2336.07,534,535.07,154,154.08,161,160.25,280,16997,125212,179.3,-0.44,396.71,"cm",-1.12,"INHS_FISH_38220",NA,NA,58.91,58.89,13.46,13.49,3.88,3.88,4.06,4.04,7.06,1.08,7.96,"mm"
"INHS_FISH_38302",129560,"INHS_129560.JPG","38302","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38302.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10530632,2304,2304.16,469,468,120,123,150,149,267,15479,108857,3.59,1.82,374.485,"cm",2.61,"INHS_FISH_38302",NA,NA,61.52,61.53,12.52,12.5,3.2,3.28,4.01,3.98,7.13,1.1,7.76,"mm"
"INHS_FISH_38304",129561,"INHS_129561.JPG","38304","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38304.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10567630,1830,1830.15,450,449.4,140,140.23,133,132,244,12554,90853,2.66,2.04,392.493,"cm",2.38,"INHS_FISH_38304",NA,NA,46.63,46.63,11.47,11.45,3.57,3.57,3.39,3.36,6.22,0.81,5.9,"mm"
"INHS_FISH_38421",129602,"INHS_129602.JPG","38421","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38421.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10803276,2082,2081.03,508,509.36,132,132.06,152,152.9,256,17679,106150,179.88,0.3,394.121,"cm",-0.36,"INHS_FISH_38421",NA,NA,52.83,52.8,12.89,12.92,3.35,3.35,3.86,3.88,6.5,1.14,6.83,"mm"
"INHS_FISH_38522",129635,"INHS_129635.JPG","38522","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38522.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10645424,3965,3964.48,883,882.62,256,267.04,250,250.25,437,46078,329278,0.29,-0.9,356.56,"cm",-0.08,"INHS_FISH_38522",NA,NA,111.2,111.19,24.76,24.75,7.18,7.49,7.01,7.02,12.26,3.62,25.9,"mm"
"INHS_FISH_38536",129639,"INHS_129639.JPG","38536","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38536.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10602520,1743,1761.3,466,474.41,176,193.33,122,121.59,270,11083,94451,9.98,8.49,396.683,"cm",9.95,"INHS_FISH_38536",NA,NA,43.94,44.4,11.75,11.96,4.44,4.87,3.08,3.07,6.81,0.7,6,"mm"
"INHS_FISH_38725",129671,"INHS_129671.JPG","38725","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38725.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10284144,2142,2141.39,478,477.07,121,127.76,128,127.77,179,9402,102181,179.37,1.1,377.695,"cm",-0.33,"INHS_FISH_38725",NA,NA,56.71,56.7,12.66,12.63,3.2,3.38,3.39,3.38,4.74,0.66,7.16,"mm"
"INHS_FISH_38783",129685,"INHS_129685.JPG","38783","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38783.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11240332,1602,1602.36,405,406.84,102,102.4,134,133.03,210,12284,70901,1.93,2.36,394.51,"cm",1.94,"INHS_FISH_38783",NA,NA,40.61,40.62,10.27,10.31,2.59,2.6,3.4,3.37,5.32,0.79,4.56,"mm"
"INHS_FISH_38815",129699,"INHS_129699.JPG","38815","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_38815.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11176128,1936,1935.01,480,479.23,145,149.65,123,122.2,233,10272,94389,0.68,0.15,394.529,"cm",-0.36,"INHS_FISH_38815",NA,NA,49.07,49.05,12.17,12.15,3.68,3.79,3.12,3.1,5.91,0.66,6.06,"mm"
"INHS_FISH_39009",129740,"INHS_129740.JPG","39009","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39009.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11021373,1173,1210.04,285,288.54,80,80.16,90,89.2,160,5637,36213,14.94,14.4,392.946,"cm",14.78,"INHS_FISH_39009",NA,NA,29.85,30.79,7.25,7.34,2.04,2.04,2.29,2.27,4.07,0.37,2.35,"mm"
"INHS_FISH_39053",129749,"INHS_129749.JPG","39053","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39053.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11196243,1860,1860.72,415,416.33,122,122.8,122,121.07,218,10150,79390,3.02,2.46,392.854,"cm",2.39,"INHS_FISH_39053",NA,NA,47.35,47.36,10.56,10.6,3.11,3.13,3.11,3.08,5.55,0.66,5.14,"mm"
"INHS_FISH_39054",129750,"INHS_129750.JPG","39054","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39054.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11188476,1661,1660.53,407,406.32,110,113.76,129,128,211,11966,74476,179.33,-1.45,394.32,"cm",-0.41,"INHS_FISH_39054",NA,NA,42.12,42.11,10.32,10.3,2.79,2.88,3.27,3.25,5.35,0.77,4.79,"mm"
"INHS_FISH_39078",129756,"INHS_129756.JPG","39078","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39078.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11195195,1518,1518.66,340,339.01,79,84.5,116,115.28,184,9573,56127,4.23,2.68,393.169,"cm",3.36,"INHS_FISH_39078",NA,NA,38.61,38.63,8.65,8.62,2.01,2.15,2.95,2.93,4.68,0.62,3.63,"mm"
"INHS_FISH_39101",129761,"INHS_129761.JPG","39101","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39101.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10371258,2914,2913.3,671,670.24,198,201.43,189,189.28,324,24553,186055,1.37,0.83,357.064,"cm",0.65,"INHS_FISH_39101",NA,NA,81.61,81.59,18.79,18.77,5.55,5.64,5.29,5.3,9.07,1.93,14.59,"mm"
"INHS_FISH_39104",129762,"INHS_129762.JPG","39104","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39104.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11328068,2012,2019.58,402,401.5,112,119.62,116,115.16,243,8439,77930,5.71,5.28,392.223,"cm",5.41,"INHS_FISH_39104",NA,NA,51.3,51.49,10.25,10.24,2.86,3.05,2.96,2.94,6.2,0.55,5.07,"mm"
"INHS_FISH_39175",129777,"INHS_129777.JPG","39175","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39175.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10734256,1927,1931.53,484,483.6,148,151.21,127,126.02,238,10859,96266,175.35,-4.34,393.792,"cm",-5.1,"INHS_FISH_39175",NA,NA,48.93,49.05,12.29,12.28,3.76,3.84,3.23,3.2,6.04,0.7,6.21,"mm"
"INHS_FISH_39401",129801,"INHS_129801.JPG","39401","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39401.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11077490,1503,1502.21,384,383.06,94,100.3,120,119,200,8950,65554,1.95,0.95,392.953,"cm",0.48,"INHS_FISH_39401",NA,NA,38.25,38.23,9.77,9.75,2.39,2.55,3.05,3.03,5.09,0.58,4.25,"mm"
"INHS_FISH_39448",129815,"INHS_129815.JPG","39448","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39448.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11048210,1407,1407.11,328,327.01,75,83.19,113,112,173,8813,47804,178.34,-2.28,392.578,"cm",-2.08,"INHS_FISH_39448",NA,NA,35.84,35.84,8.36,8.33,1.91,2.12,2.88,2.85,4.41,0.57,3.1,"mm"
"INHS_FISH_39488",129830,"INHS_129830.JPG","39488","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39488.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10613059,2228,2229.24,554,554.11,177,177.34,163,162.08,284,19754,126031,3.58,2.57,393.874,"cm",3.14,"INHS_FISH_39488",NA,NA,56.57,56.6,14.07,14.07,4.49,4.5,4.14,4.12,7.21,1.27,8.12,"mm"
"INHS_FISH_39556",129851,"INHS_129851.JPG","39556","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39556.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10562177,2541,2542.05,534,538.25,144,145,153,152,270,15380,126337,3.06,2.3,367.532,"cm",2.45,"INHS_FISH_39556",NA,NA,69.14,69.17,14.53,14.64,3.92,3.95,4.16,4.14,7.35,1.14,9.35,"mm"
"INHS_FISH_39569",129853,"INHS_129853.JPG","39569","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39569.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,11211994,3224,3223.25,710,709,210,215.64,210,209.54,351,27520,213565,1.95,0.71,361.421,"cm",1.6,"INHS_FISH_39569",NA,NA,89.2,89.18,19.64,19.62,5.81,5.97,5.81,5.8,9.71,2.11,16.35,"mm"
"INHS_FISH_39584",129856,"INHS_129856.JPG","39584","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39584.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11041906,1515,1515.27,341,343.37,87,87.28,104,103.04,179,7373,51982,177.33,-2.35,391.081,"cm",-2.77,"INHS_FISH_39584",NA,NA,38.74,38.75,8.72,8.78,2.22,2.23,2.66,2.63,4.58,0.48,3.4,"mm"
"INHS_FISH_39603",129857,"INHS_129857.JPG","39603","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_39603.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,11130678,2154,2163.71,526,526.93,149,149.01,149,148.03,261,15736,114827,6.97,5.7,399.662,"cm",6.56,"INHS_FISH_39603",NA,NA,53.9,54.14,13.16,13.18,3.73,3.73,3.73,3.7,6.53,0.99,7.19,"mm"
"INHS_FISH_40063",129890,"INHS_129890.JPG","40063","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_40063.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11256376,1674,1673,378,377,87,94.54,140,139.36,217,13798,72522,179.99,0.07,392.922,"cm",-0.59,"INHS_FISH_40063",NA,NA,42.6,42.58,9.62,9.59,2.21,2.41,3.56,3.55,5.52,0.89,4.7,"mm"
"INHS_FISH_40481",129911,"INHS_129911.JPG","40481","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_40481.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11318776,1668,1667.06,358,357.4,84,93.91,114,113,215,9537,69386,1.25,0.48,394.299,"cm",0.78,"INHS_FISH_40481",NA,NA,42.3,42.28,9.08,9.06,2.13,2.38,2.89,2.87,5.45,0.61,4.46,"mm"
"INHS_FISH_40608",129946,"INHS_129946.JPG","40608","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_40608.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10894646,2108,2108.2,535,534,142,146.49,152,151.48,288,16636,127388,3.1,1.93,393.189,"cm",2.2,"INHS_FISH_40608",NA,NA,53.61,53.62,13.61,13.58,3.61,3.73,3.87,3.85,7.32,1.08,8.24,"mm"
"INHS_FISH_40755",129992,"INHS_129992.JPG","40755","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_40755.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11098298,1521,1576.16,369,373.19,111,111.54,128,127,218,10940,65213,16.75,15.34,393.691,"cm",16.33,"INHS_FISH_40755",NA,NA,38.63,40.04,9.37,9.48,2.82,2.83,3.25,3.23,5.54,0.71,4.21,"mm"
"INHS_FISH_40851",130018,"INHS_130018.JPG","40851","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_40851.jpg","Notropis ammophilus","Notropis ","Cyprinidae","INHS",6016,4016,10157860,1786,1792.25,489,494.51,126,162.74,126,125.14,262,10567,110340,177.07,-5.15,393.941,"cm",-2.81,"INHS_FISH_40851",NA,NA,45.34,45.5,12.41,12.55,3.2,4.13,3.2,3.18,6.65,0.68,7.11,"mm"
"INHS_FISH_41403",130142,"INHS_130142.JPG","41403","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41403.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,10930908,2478,2478.49,571,570.07,160,161.94,182,181.47,294,21701,140732,2.05,1.99,393.775,"cm",1.59,"INHS_FISH_41403",NA,NA,62.93,62.94,14.5,14.48,4.06,4.11,4.62,4.61,7.47,1.4,9.08,"mm"
"INHS_FISH_41657",130198,"INHS_130198.JPG","41657","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41657.jpg","Notropis stilbius","Notropis ","Cyprinidae","INHS",6016,4016,10595322,2528,2527.01,595,595.48,167,174.04,171,170.66,302,19856,158794,1.24,0.14,392.009,"cm",1.13,"INHS_FISH_41657",NA,NA,64.49,64.46,15.18,15.19,4.26,4.44,4.36,4.35,7.7,1.29,10.33,"mm"
"INHS_FISH_41686",130203,"INHS_130203.JPG","41686","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41686.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11304340,1937,1966.85,420,423.13,132,133.82,135,134.03,231,13478,79627,10.65,10.16,396.2,"cm",10.5,"INHS_FISH_41686",NA,NA,48.89,49.64,10.6,10.68,3.33,3.38,3.41,3.38,5.83,0.86,5.07,"mm"
"INHS_FISH_41708",130206,"INHS_130206.JPG","41708","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41708.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11068732,1667,1668.02,397,396.02,117,117.96,117,116.21,208,9846,68082,3.53,2.82,395.378,"cm",2.6,"INHS_FISH_41708",NA,NA,42.16,42.19,10.04,10.02,2.96,2.98,2.96,2.94,5.26,0.63,4.36,"mm"
"INHS_FISH_41709",130207,"INHS_130207.JPG","41709","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41709.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11080112,1719,1718.07,405,404,107,114.59,119,118.02,218,10034,75725,1.24,0.53,395.149,"cm",0.92,"INHS_FISH_41709",NA,NA,43.5,43.48,10.25,10.22,2.71,2.9,3.01,2.99,5.52,0.64,4.85,"mm"
"INHS_FISH_4171",122586,"INHS_122586.JPG","4171","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_4171.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11402521,1343,1344.26,304,303,83,85.38,92,91.01,172,5906,43050,3.43,3.33,397.605,"cm",3.31,"INHS_FISH_4171",NA,NA,33.78,33.81,7.65,7.62,2.09,2.15,2.31,2.29,4.33,0.37,2.72,"mm"
"INHS_FISH_41757",130217,"INHS_130217.JPG","41757","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41757.jpg","Notropis photogenis","Notropis ","Cyprinidae","INHS",6016,4016,11028408,1336,1336.05,349,349.05,95,95.08,111,110.02,172,8189,49728,3.38,2.27,395.824,"cm",1.97,"INHS_FISH_41757",NA,NA,33.75,33.75,8.82,8.82,2.4,2.4,2.8,2.78,4.35,0.52,3.17,"mm"
"INHS_FISH_41797",130222,"INHS_130222.JPG","41797","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41797.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11069573,2236,2238.11,511,510.17,146,149.05,135,134.06,257,13924,116012,5.45,3.02,375.716,"cm",4.91,"INHS_FISH_41797",NA,NA,59.51,59.57,13.6,13.58,3.89,3.97,3.59,3.57,6.84,0.99,8.22,"mm"
"INHS_FISH_41816",130227,"INHS_130227.JPG","41816","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_41816.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11162166,1820,1820.27,436,435.04,128,133.52,140,139.01,232,13247,83070,2.85,2.14,392.316,"cm",2.09,"INHS_FISH_41816",NA,NA,46.39,46.4,11.11,11.09,3.26,3.4,3.57,3.54,5.91,0.86,5.4,"mm"
"INHS_FISH_4197",122591,"INHS_122591.JPG","4197","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_4197.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11350359,1399,1398.79,345,344.05,92,98.79,109,108.02,187,8150,53363,178.51,-1.93,393.56,"cm",-0.89,"INHS_FISH_4197",NA,NA,35.55,35.54,8.77,8.74,2.34,2.51,2.77,2.74,4.75,0.53,3.45,"mm"
"INHS_FISH_42535",130403,"INHS_130403.JPG","42535","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_42535.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11007271,1232,1231.08,282,282.82,82,84.65,64,63.07,155,3750,38487,0.29,0.65,392.231,"cm",1.24,"INHS_FISH_42535",NA,NA,31.41,31.39,7.19,7.21,2.09,2.16,1.63,1.61,3.95,0.24,2.5,"mm"
"INHS_FISH_42877",130485,"INHS_130485.JPG","42877","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_42877.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11005860,1521,1526.71,409,408.35,126,126.89,123,122.92,210,10430,71169,5.84,5.37,394.015,"cm",5.72,"INHS_FISH_42877",NA,NA,38.6,38.75,10.38,10.36,3.2,3.22,3.12,3.12,5.33,0.67,4.58,"mm"
"INHS_FISH_42931",130499,"INHS_130499.JPG","42931","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_42931.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11090959,1676,1678.29,411,410.06,116,124.42,119,118.27,202,9724,71902,5.52,3.59,396.819,"cm",4.92,"INHS_FISH_42931",NA,NA,42.24,42.29,10.36,10.33,2.92,3.14,3,2.98,5.09,0.62,4.57,"mm"
"INHS_FISH_42960",130508,"INHS_130508.JPG","42960","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_42960.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10939192,1189,1197.56,294,293.68,88,88.05,97,96.42,157,6619,36787,8.98,7.24,392.45,"cm",7.41,"INHS_FISH_42960",NA,NA,30.3,30.51,7.49,7.48,2.24,2.24,2.47,2.46,4,0.43,2.39,"mm"
"INHS_FISH_42961",130509,"INHS_130509.JPG","42961","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_42961.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11236009,1623,1640.1,394,393.93,123,125.51,122,121.26,219,10814,71495,9.83,8.52,393.199,"cm",10.11,"INHS_FISH_42961",NA,NA,41.28,41.71,10.02,10.02,3.13,3.19,3.1,3.08,5.57,0.7,4.62,"mm"
"INHS_FISH_42999",130516,"INHS_130516.JPG","42999","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_42999.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,10971963,1708,1714.86,381,387.14,117,120.07,114,113.04,206,9326,66235,5.29,5.49,394.175,"cm",5.26,"INHS_FISH_42999",NA,NA,43.33,43.51,9.67,9.82,2.97,3.05,2.89,2.87,5.23,0.6,4.26,"mm"
"INHS_FISH_43025",130520,"INHS_130520.JPG","43025","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_43025.jpg","Notropis rubellus","Notropis ","Cyprinidae","INHS",6016,4016,11213008,1127,1131.76,258,257.01,59,61.4,83,82.73,139,4963,29933,175.28,-5.78,392.421,"cm",-5.77,"INHS_FISH_43025",NA,NA,28.72,28.84,6.57,6.55,1.5,1.56,2.12,2.11,3.54,0.32,1.94,"mm"
"INHS_FISH_43026",130521,"INHS_130521.JPG","43026","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_43026.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11065212,1578,1577.04,387,386.33,122,124.34,120,120.51,219,10479,71163,2.14,0.4,396.283,"cm",2.05,"INHS_FISH_43026",NA,NA,39.82,39.8,9.77,9.75,3.08,3.14,3.03,3.04,5.53,0.67,4.53,"mm"
"INHS_FISH_44640",130728,"INHS_130728.JPG","44640","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_44640.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10997418,1914,1961.39,443,444.71,135,135.83,129,128,258,11474,92839,13.79,12.75,395.654,"cm",13.12,"INHS_FISH_44640",NA,NA,48.38,49.57,11.2,11.24,3.41,3.43,3.26,3.24,6.52,0.73,5.93,"mm"
"INHS_FISH_4498",122689,"INHS_122689.JPG","4498","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_4498.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11194768,1100,1105.75,289,289.56,73,73.11,102,101,158,6708,38076,8.91,6.33,395.871,"cm",8.26,"INHS_FISH_4498",NA,NA,27.79,27.93,7.3,7.31,1.84,1.85,2.58,2.55,3.99,0.43,2.43,"mm"
"INHS_FISH_45001",130859,"INHS_130859.JPG","45001","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_45001.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10879717,2193,2192.3,525,524.46,155,170.07,146,145.03,309,15479,137188,179.61,-0.94,397.056,"cm",-0.39,"INHS_FISH_45001",NA,NA,55.23,55.21,13.22,13.21,3.9,4.28,3.68,3.65,7.78,0.98,8.7,"mm"
