"","original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"822","INHS_FISH_109190.jpg",144650,"INHS_144650.JPG",109190,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109190.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,8867655,"699dcc7c-b342-5e75-aa70-c98d3a840555","a04fa176-adf2-45b5-a4bc-6f8ebf07f5c8",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Notropis leuciodus","Notropis ","Cyprinidae"
"823","INHS_FISH_109191.jpg",144651,"INHS_144651.JPG",109191,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109191.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10259881,"f65218d7-6108-5512-9610-3c228ceb92ed","2d7ac498-7fa7-4511-8e59-42093541d6e7",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",6,"Notropis leuciodus","Notropis ","Cyprinidae"
"824","INHS_FISH_109193.jpg",144653,"INHS_144653.JPG",109193,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109193.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9883055,"6e2339be-42e7-5f3a-a53e-324d1218e116","ef189f4e-9326-404b-97d9-c3f290c96988",15,1,"True","True","True","False","detailed","False","False","clear disk","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Notropis leuciodus","Notropis ","Cyprinidae"
"825","INHS_FISH_109198.jpg",144658,"INHS_144658.JPG",109198,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109198.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11168604,"b3072599-00e9-558c-b254-224920c858b7","9965247d-4c31-4e13-9caf-05fa812a37c2",12,1,"True","True","True","False","detailed","False","False","paper","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis leuciodus","Notropis ","Cyprinidae"
"826","INHS_FISH_109201.jpg",144661,"INHS_144661.JPG",109201,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109201.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10142884,"f6819da4-018a-591d-a41c-e510f4b19046","b607e24d-70d0-4752-be14-298f74377784",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Notropis leuciodus","Notropis ","Cyprinidae"
"827","INHS_FISH_109204.jpg",144664,"INHS_144664.JPG",109204,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109204.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9425171,"86841d3f-4a7f-5274-b6b1-fb1b9bb33ae9","c5b50d72-9867-481e-9268-f734b0bfe84b",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis leuciodus","Notropis ","Cyprinidae"
"828","INHS_FISH_109205.jpg",144665,"INHS_144665.JPG",109205,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109205.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10602237,"6884afa7-a382-51ba-8269-ba09dae3da4d","0661651b-a27b-473c-88a4-2f4af1e0942d",15,1,"True","True","True","False","detailed","False","False","clear disk","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Notropis leuciodus","Notropis ","Cyprinidae"
"829","INHS_FISH_109206.jpg",144666,"INHS_144666.JPG",109206,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109206.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,10822140,"9674f298-5e7d-570b-96c7-d111edb9cfcc","c6958c31-134f-4a5f-aad3-8011118d8f3e",16,1,"True","True","","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Notropis leuciodus","Notropis ","Cyprinidae"
"830","INHS_FISH_109207.jpg",144667,"INHS_144667.JPG",109207,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109207.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,9945596,"6140d948-b74a-5497-abf1-e8a182d3fefb","4c5ab930-71c3-41bc-a30d-bc099031be54",16,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",7,"Notropis leuciodus","Notropis ","Cyprinidae"
"832","INHS_FISH_109244.jpg",144675,"INHS_144675.JPG",109244,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109244.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10814878,"5c6d60cb-eebc-5710-8133-12ebba57307c","b002c7af-484f-47dc-9672-5fa6a9df9391",15,1,"True","True","True","False","detailed","False","False","no","False",8,"left","straight","False","True","False","normal","False","True","none",8,"Notropis texanus","Notropis ","Cyprinidae"
"848","INHS_FISH_109884.jpg",144709,"INHS_144709.JPG",109884,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109884.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10203014,"487cd7b2-d8ec-5f4b-9c10-765b72771d10","c7bb1ac9-1a63-45a1-9d0d-6205baf432ae",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"854","INHS_FISH_109975.jpg",144719,"INHS_144719.JPG",109975,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_109975.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10141950,"2402302d-3178-5aa6-af08-877d6ceac20c","5d6fbfee-456b-4c85-91c3-49438140218e",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
