"","original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"1224","INHS_FISH_025552.jpg",127837,"INHS_127837.JPG","25552","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_025552.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,7536955,"1de09f3e-8f7b-59f0-a104-d4224091afd9","5879ba38-36e8-41c4-ac7e-0573814b709f",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",7,"Carassius auratus","Carassius ","Cyprinidae"
"1225","INHS_FISH_025658.jpg",127878,"INHS_127878.JPG","25658","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_025658.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6668979,"6cebaf4e-4a81-5d96-b0b7-acd8edaac8aa","a2eeec7f-3e42-45ef-a695-be345ac79c9f",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Carassius auratus","Carassius ","Cyprinidae"
"1226","INHS_FISH_025698.jpg",127892,"INHS_127892.JPG","25698","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_025698.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6824047,"8fdd77c2-3a76-5aa5-9f95-c358e3d51262","81d1b915-9e03-46b1-a5c2-d493d0f9966a",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Carassius auratus","Carassius ","Cyprinidae"
"1228","INHS_FISH_025933.jpg",127967,"INHS_127967.JPG","25933","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_025933.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6915735,"1d85a404-41a5-5338-b83e-2e100502a94d","7f769b33-0c46-4756-830a-1d142e924b86",16,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Carassius auratus","Carassius ","Cyprinidae"
"1229","INHS_FISH_026042.jpg",128000,"INHS_128000.JPG","26042","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026042.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6068981,"24874f2a-3074-530e-92e9-6430f36aa696","bc4bc166-e4fe-48fb-98ef-18c4751e872a",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",7,"Carassius auratus","Carassius ","Cyprinidae"
"1230","INHS_FISH_026046.jpg",128001,"INHS_128001.JPG","26046","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026046.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,7331566,"a77f5bb3-8d72-5c4c-af6d-43e8efc2672a","59d9f89e-68c9-4587-b310-5058be787de5",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1232","INHS_FISH_026100.jpg",128020,"INHS_128020.JPG","26100","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026100.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,6353557,"3a043f15-cca7-51cc-a563-84ddf01e2ff3","50e56214-0627-4f5b-8f6b-80e8419c30b5",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1235","INHS_FISH_026103.jpg",128022,"INHS_128022.JPG","26103","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026103.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,7447271,"4af63b72-7e9c-56ab-b93b-8ba80355c668","d515ccdb-1041-4676-ab32-3050cd143754",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",7,"Carassius auratus","Carassius ","Cyprinidae"
"1238","INHS_FISH_026162.jpg",128041,"INHS_128041.JPG","26162","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026162.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,6627125,"105fdee2-6310-5abf-a176-ad23fa8f0b79","56189344-b97f-42c7-8b99-73a0fa2c0c55",15,1,"True","True","True","False","detailed","False","False","clear disks","False",9,"left","straight","False","True","False","normal","True","True","none",10,"Carassius auratus","Carassius ","Cyprinidae"
"1242","INHS_FISH_026243.jpg",128064,"INHS_128064.JPG","26243","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026243.jpg","Carassius auratus","Carassius ","Cyprinidae","INHS",6016,4016,5962284,"3e9fea9f-7d85-55b6-9088-d5db0b8d0cc7","3b96f539-3df2-40dd-a76d-366bd3668aff",14,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",8,"Carassius auratus","Carassius ","Cyprinidae"
"1243","INHS_FISH_026406.jpg",128123,"INHS_128123.JPG","26406","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026406.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,8003610,"09bb1196-4956-5900-be6c-284ec8950686","69ff73ff-1d29-43c7-ade5-14c467b96961",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","True","True","none",6,"Cyprinus carpio","Cyprinus ","Cyprinidae"
"1244","INHS_FISH_026489.jpg",128156,"INHS_128156.JPG","26489","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_026489.jpg","Cyprinus carpio","Cyprinus ","Cyprinidae","INHS",6016,4016,6265577,"6860f1ce-7c5f-54c1-bc0c-17df267f1a8e","647735ea-72ba-4aaa-881c-f77f6562aee2",15,1,"True","True","True","False","detailed","False","False","clear disk","False",9,"left","straight","False","True","False","normal","True","True","none",9,"Cyprinus carpio","Cyprinus ","Cyprinidae"
